arouse	вызывать, пробуждать	Something aroused their interest.
undergo	пройти через, подвергнуться	It's currently undergoing a massive reconstruction.
work out	тренироваться	I adore working out on the seashore.
fashion	мода	Miami Fashion Week starts today!
cabin	хижина	He lives in his cabin in Alaska.
instant	мгновенние, мгновенный	This sleeping pill has an instant effect.
yet	пока ещё (отриц.)	The mobile phone wasn't invented yet back then.
investigate	расследовать	It was me, who investigated the murder of Lee.
state	государство	US foreign ministry is called the State Department.
coach	тренер	Our coach always finds the right words.
gun	огнестрельное оружие	Who would not like to have a gun like this one?
due to	из-за, в связи	He looks big, but that is due to his fur.
wrap	заворачивать	Wrap it back in the cloth and put it back.
barrel	бочка	Each barrel is about 80 liters.
get rid of	избавиться от	Do this exercise to get rid of your double chin.
scheme	схема	The scheme is plain and unambiguous.
image	изображение, образ	After all, God created us in His own image.
welfare	пособие, мат. помощь	Millions of Americans live on welfare.
incorporate	вобрать, соединить	It should incorporate all the best elements.
current	текущий, актуальный	My current boyfriend doesn't realize it.
spin	крутить	Sit back, chill out and spin a vinyl record.
controversy	спор, разногласие, дискуссия	The controversy flared up again.
trial	судебный процесс	The Nuremberg trials started on October 1st in 1946.
terms	условия, соглашение	Read the terms carefully before signing.
turn away	не пустить	The door supervisors turned us away.
stake	ставка, делать ставку	He was ready to put anything at stake.
work out	получиться, сработать	Yes! My plan worked out!
wander	бродить, блуждать	Not all those who wander are lost. (с)
hit (hit, hit)	ударить, удар	Come on, hit me! You can't hurt me.
defence (defense)	защита, защитный	The wall provided defense from the Picts.
drive out	выгнать	My dog has driven all the cats out of the garden.
blow (blew blown)	дуть	Have you ever blown a dandelion's seeds?
couple	пара	Everyone said they made a great couple.
explore	изучать	I liked exploring brooks, swamps and ravines.
put on	надеть	I put this hat on to protect my brain from radiation.
prefer	предпочитать	For dinner, I prefer older wines.
rough	грубый, неровный, жёсткий	The road to the goal was rough and long.
discourse	речь, рассуждение	Hundreds came to listen to his discourse.
current	ток, поток, течение	The river's current seemed stronger than before.
broad	широкий	The broad highway led us directly into Sodankylä.
warrior	воин	'Who are you?', the warrior asked.
scale	чешуя, шелуха	Dragons have strong scales.
count	считаться, иметь значение	It doesn't count if you were both drunk.
ensure	обеспечить, гарантировать	This system ensures reliable ventilation.
across	за, через	The village was right across the lake.
state	состояние	Oh, what a terrible state it is in!
